업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,2014-07-28,스타벅스커피 서울세관사거리점,서울특별시 강남구 언주로 650  지상1층 (논현동),서울특별시 강남구 논현동 238번지 5호 지상1층 ,259.51,02  -3015-1180,2014-07-28,6098,135-830,2014-07-28,커피숍
휴게음식점,2014-07-28,코코버블티 신논현점,서울특별시 강남구 봉은사로 지하 102  지하2층 (역삼동),서울특별시 강남구 역삼동 800번지 지하2층 ,20.54,010 -4643-0558,2014-07-28,6120,135-080,2014-07-28,커피숍
휴게음식점,2014-07-28,쥬씨 강남구청점,서울특별시 강남구 언주로134길 29  1층 (논현동),서울특별시 강남구 논현동 113번지 25호 1층 ,35,010 -3510-0068,2016-03-07,6059,135-821,2014-07-28,커피숍
휴게음식점,2014-07-28,스무시 하우스,서울특별시 강남구 테헤란로 517  지하1층 (삼성동  현대백화점 무역센터점),서울특별시 강남구 삼성동 159번지 7호 지하1층 ,19.8,02  -469 -7017,2014-07-28,6164,135-090,2014-07-28,백화점
휴게음식점,2014-07-28,85번가,서울특별시 강남구 강남대로122길 39  지상1층 (논현동),서울특별시 강남구 논현동 160번지 15호 지상1층 ,33,010 -5391-6783,2014-07-28,6114,135-825,2014-07-28,커피숍
휴게음식점,2014-07-29,(주)커피빈코리아 영동2교사거리점,서울특별시 강남구 논현로 136  지상1 2층 (도곡동  오션스퀘어빌딩 ),서울특별시 강남구 도곡동 425번지 0호 오션스퀘어빌딩 지상1 2층 ,288.53,02  -573 -5681,2014-07-29,6302,135-855,2014-07-29,커피숍
휴게음식점,2014-07-29,지에스25 역삼태극점,서울특별시 강남구 테헤란로4길 46  지하1층층 비상가110호 (역삼동  쌍용플래티넘밸류),서울특별시 강남구 역삼동 826번지 37호 쌍용플래티넘밸류 지하1층 비상가110 ,3.3,--,2014-07-29,6241,135-935,2014-07-29,편의점
휴게음식점,2014-07-30,에스프레소 진(Espresso Jin),서울특별시 강남구 논현로86길 21  지상1층 (역삼동),서울특별시 강남구 역삼동 718번지 35호  ,10.2,010 -4585-0788,2016-10-25,6220,135-920,2014-07-30,커피숍
휴게음식점,2014-07-30,스토리 원 커피,서울특별시 강남구 논현로28길 56  지상1 2층 (도곡동),서울특별시 강남구 도곡동 422번지 4호 지상1 2층 ,272.35,010 -6232-1302,2014-07-30,6300,135-855,2014-07-30,커피숍
휴게음식점,2014-07-31,(주)윤상임,서울특별시 강남구 강남대로160길 40 (신사동),서울특별시 강남구 신사동 519번지 11호  ,221.1,--,2014-07-31,6034,135-888,2014-07-31,커피숍
휴게음식점,2014-08-01,소반들,서울특별시 강남구 압구정로50길 28  상가동 27 28 29호 (신사동),서울특별시 강남구 신사동 658번지  ,60.4,02  -512 -0096,2014-08-01,6018,135-897,2014-08-01,일반조리판매
휴게음식점,2014-08-04,퀸즈,서울특별시 강남구 강남대로122길 65  지상1층 (논현동),서울특별시 강남구 논현동 158번지 4호 지상1층 ,31.35,--,2014-08-04,6115,135-824,2014-08-04,다방
휴게음식점,2014-08-05,GS25역삼성보,서울특별시 강남구 테헤란로52길 16  상가12호 (역삼동),서울특별시 강남구 역삼동 709번지  ,3.3,02  -557 -2009,2015-01-16,6213,135-919,2014-08-05,편의점
휴게음식점,2014-08-05,바빌론피씨,서울특별시 강남구 강남대로84길 16  지하1층 (역삼동  제이스타워),서울특별시 강남구 역삼동 826번지 27호 제이스타워 지하1층 ,27.1,--,2014-08-05,6241,135-935,2014-08-05,일반조리판매
