업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
위탁급식영업,2011-05-18,(주)휴먼푸드,서울특별시 강남구 역삼로 245 (역삼동 하나이비인후과),서울특별시 강남구 역삼동 732번지 19호 하나이비인후과 ,83.64,02  -6925-1111,2011-05-18,6225,135-514,2011-05-18,위탁급식영업
위탁급식영업,2011-06-03,(주)필라댄스,서울특별시 강남구 학동로 445 (청담동 지상15층),서울특별시 강남구 청담동 47번지 4호 지상15층 ,113.6,02  -513 -8397,2016-07-06,6068,135-951,2011-06-03,위탁급식영업
위탁급식영업,2011-11-09,(주)아워홈 린컴퍼니점(직원식당),서울특별시 강남구 영동대로 734  2층 (청담동),서울특별시 강남구 청담동 131번지 6호 2층 ,206.41,070 -4008-6006,2015-08-25,6075,135-957,2011-11-09,위탁급식영업
위탁급식영업,2012-01-04,(주)신세계푸드,서울특별시 강남구 강남대로 298 (역삼동  푸르덴셜타워),서울특별시 강남구 역삼동 838번지  ,725.58,0103-6653-158,2016-06-22,6253,135-937,2012-01-04,위탁급식영업
위탁급식영업,2012-03-08,태화기독교사회복지관,서울특별시 강남구 광평로 185  지상5층 (수서동),서울특별시 강남구 수서동 741번지 지상5층 ,120,011 -892 -2083,2012-03-08,6353,135-886,2012-03-08,위탁급식영업
위탁급식영업,2012-04-13,라미도레 웰푸드,서울특별시 강남구 봉은사로 609 (삼성동),서울특별시 강남구 삼성동 107번지 7호  ,284,010 -5242-7592,2012-04-13,6083,135-873,2012-04-13,위탁급식영업
위탁급식영업,2012-04-19,새마을 운동중앙회,서울특별시 강남구 영동대로 316  지하2층 (대치동),서울특별시 강남구 대치동 1008번지 4호  ,0,011 -291 -5306,2012-04-19,6177,135-851,2012-04-19,위탁급식영업
위탁급식영업,2012-05-11,(주)도선제이엔디아이엔씨,서울특별시 강남구 양재대로 486  지상2층 (개포동),서울특별시 강남구 개포동 565번지 3호 지상2층 ,97,031 -896 -6007,2015-06-01,6358,135-805,2012-05-11,위탁급식영업
위탁급식영업,2012-05-18,(주)하이눈커뮤니티,서울특별시 강남구 선릉로 404  지하1층 (대치동),서울특별시 강남구 대치동 907번지 16호 지하1층 ,64.35,0109-4342-268,2012-05-18,6198,135-841,2012-05-18,위탁급식영업
위탁급식영업,2012-06-28,(주)신세계푸드 SSG푸드마켓청담점,서울특별시 강남구 도산대로 442  지하1층 (청담동  피엔폴루스),서울특별시 강남구 청담동 4번지 1호  ,0,02  -3397-6100,2016-04-12,6062,135-948,2012-06-28,위탁급식영업
위탁급식영업,2012-07-27,(주)아워홈 자생한방병원강남점,서울특별시 강남구 언주로 858  지하2층 (신사동),서울특별시 강남구 신사동 635번지 지하2층 ,46.2,0704-0086-006,2015-08-26,6017,135-896,2012-07-27,위탁급식영업
위탁급식영업,2012-08-23,보리수,서울특별시 강남구 도산대로 536  지하2층 (청담동),서울특별시 강남구 청담동 52번지 3호  ,100.63,011 -737 -7789,2012-08-23,6071,135-952,2012-09-03,위탁급식영업
위탁급식영업,2013-01-02,롯데푸드 하이마트 대치점,서울특별시 강남구 삼성로 156  지상2층 (대치동  하이마트빌딩),서울특별시 강남구 대치동 509번지  ,379.76,019 -676 -9622,2013-04-22,6288,135-837,2016-02-23,위탁급식영업
위탁급식영업,2013-03-04,한가락,서울특별시 강남구 언주로 517  지상14층 (역삼동),서울특별시 강남구 역삼동 675번지 3호 지상14층 ,0,  02- 561-0800,2013-03-04,6139,135-915,2013-03-04,위탁급식영업
위탁급식영업,2013-03-26,서울로봇고등학교,서울특별시 강남구 광평로20길 63 (일원동),서울특별시 강남구 일원동 738번지  ,245,02  -571 -7691,2013-03-26,6363,135-230,2013-03-26,위탁급식영업
위탁급식영업,2013-04-01,강남구립국제교육원,서울특별시 강남구 선릉로 668  지하1층 (삼성동),서울특별시 강남구 삼성동 8번지  ,55.6,010 -9588-5663,2013-04-01,6088,135-864,2013-04-01,위탁급식영업
위탁급식영업,2013-04-01,강남구청,서울특별시 강남구 학동로 426  지하1층 (삼성동),서울특별시 강남구 삼성동 16번지 1호  ,860,010 -3234-8982,2013-04-01,6090,135-090,2013-04-01,위탁급식영업
위탁급식영업,2013-04-08,가든테리어,서울특별시 강남구 논현로 322  지상1층 (역삼동  형지빌딩),서울특별시 강남구 역삼동 776번지 15호  ,0,010 -5327-3006,2013-04-08,6228,135-928,2013-04-08,위탁급식영업
위탁급식영업,2013-05-29,(주)아워홈 LG전자 강남R&D센터,서울특별시 강남구 남부순환로 2621  지하1층 (도곡동),서울특별시 강남구 도곡동 956번지  ,1266.07,070 -4008-6006,2015-08-24,6267,135-860,2013-05-29,위탁급식영업
위탁급식영업,2013-05-30,서울강남우체국,서울특별시 강남구 개포로 619 (개포동),서울특별시 강남구 개포동 14번지 4호  ,0,02  -3448-1040,2013-05-30,6336,135-939,2013-05-30,위탁급식영업
위탁급식영업,2013-11-05,강남그린푸드,서울특별시 강남구 남부순환로 2653  6층 (도곡동),서울특별시 강남구 도곡동 907번지 41호 6층 ,155.23,02  -571 -8534,2013-11-05,6271,135-859,2013-11-05,위탁급식영업
위탁급식영업,2013-11-20,(주)진주랑 두원구내식당,서울특별시 강남구 강남대로 636  지하1층 (신사동),서울특별시 강남구 신사동 503번지 5호 지하1층 ,165,031 -739 -5580,2013-11-20,6034,135-887,2013-11-20,위탁급식영업
위탁급식영업,2014-01-24,(주)에버가드,서울특별시 강남구 밤고개로1길 10  1520호 (수서동  현대벤처빌),서울특별시 강남구 수서동 713번지 현대벤처빌 1520호,77.66,02 2-040 -6477,2014-01-24,6349,135-884,2014-01-24,위탁급식영업
위탁급식영업,2014-02-28,(주)현대그린푸드 강남세브란스병원(직원식당점),서울특별시 강남구 언주로 211  7층 (도곡동  강남세브란스병원),서울특별시 강남구 도곡동 146번지 92호 강남세브란스별관 7층 ,544,02  -2019-2956,2014-02-28,6273,135-270,2014-02-28,위탁급식영업
위탁급식영업,2014-06-23,(주)HK푸드,서울특별시 강남구 학동로 425  지상7층 (청담동  강남세무서),서울특별시 강남구 청담동 45번지 강남세무서 지상7층 ,200,010 -9107-2583,2014-06-23,6068,135-951,2014-06-23,위탁급식영업
위탁급식영업,2014-07-03,씨제이프레시웨이(주) 파르나스코엑스점,서울특별시 강남구 봉은사로 524  지하3층 (삼성동  코엑스 인터컨티넨탈서울),서울특별시 강남구 삼성동 159번지 지하3층 ,408.08,02  -3430-8375,2016-10-21,6164,135-090,2014-07-03,위탁급식영업
위탁급식영업,2014-07-04,(주)위드씨엠에스,서울특별시 강남구 개포로 626  지상5층 (일원동),서울특별시 강남구 일원동 619번지 지상5층 ,346,02  -445 -4003,2016-07-07,6338,135-943,2014-07-04,위탁급식영업
위탁급식영업,2014-08-01,삼성웰스토리(주)참존,서울특별시 강남구 영동대로 318  지하2층 (대치동  (주)참존대치사옥),서울특별시 강남구 대치동 1008번지 3호 (주)참존대치사옥 지하2층 ,291.95,02  -6190-8319,2016-02-15,6177,135-851,2014-08-01,위탁급식영업
위탁급식영업,2014-09-15,(주)푸디스엘엔에프아이디병원,서울특별시 강남구 도산대로 142  지하3층 (논현동),서울특별시 강남구 논현동 5번지 6호  ,110,0234-9692-19,2014-11-07,6039,135-812,2015-09-11,위탁급식영업
위탁급식영업,2014-10-17,(주)현대그린푸드 특허법인 코리아나지점,서울특별시 강남구 강남대로94길 94  지하1층 (역삼동  KP빌딩),서울특별시 강남구 역삼동 646번지 13호 KP빌딩 지하1층 ,231.7,--,2014-10-17,6132,135-911,2014-10-17,위탁급식영업
위탁급식영업,2014-10-29,분더샵 청담점,서울특별시 강남구 압구정로60길 21  지하1층 (청담동  분더샵 청담A),서울특별시 강남구 청담동 89번지  ,108.4,0233-9760-00,2016-04-18,6016,135-954,2014-10-29,위탁급식영업
